traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age,body_type
4x2,Automático,330,Estándar,3.7,7.0,Combustión,270,No,Infiniti,9,Sedan
4x2,Manual,82,Gasolina,1.2,5.0,Combustión,83,No,Suzuki,7,Hatchback
4x2,Manual,106,Gasolina,1.5,6.0,Combustión,103,No,Mazda,7,Hatchback
4x2,Automático,100,Gasolina,1.4,6.0,Combustión,98,No,Fiat,12,Hatchback
4x2,Automático,115,Gasolina,1.6,5.0,Combustión,117,No,Dodge,9,Sedan
4x2,Automático,148,Estándar,2.0,5.0,Combustión,135,No,Mazda,13,Sedan
4x2,Automático,160,Gasolina,2.0,6.0,Combustión,146,No,Ford,9,Hatchback
4x2,Manual,164,Gasolina,2.5,5.0,Combustión,167,No,Ford,4,Pickup
4x2,Automático,125,Gasolina,1.4,7.0,Combustión,109,Sí,Seat,8,Sedan
4x2,Automático,190,Estándar,2.0,6.0,Combustión,221,Sí,Volvo,7,Sedan
4x4,Automático,444,Gasolina,4.4,8.0,Combustión,479,Sí,Bmw,6,Suv
4x2,Manual,110,Gasolina,1.6,5.0,Combustión,114,No,Seat,8,Hatchback
4x2,Manual,106,Gasolina,1.5,5.0,Combustión,103,No,Toyota,11,Hatchback
4x4,Automático,252,Gasolina,2.0,7.0,Combustión,273,Sí,Audi,5,Suv
4x2,Automático,120,Gasolina,1.6,6.0,Combustión,112,No,Kia,7,Hatchback
4x2,Automático,177,Estándar,2.4,5.0,Combustión,164,No,Honda,13,Suv
4x2,Automático,136,Gasolina,2.0,7.0,Combustión,162,Sí,Mini,5,Wagon
4x2,Manual,98,Gasolina,1.4,5.0,Combustión,89,No,Chevrolet,7,Hatchback
4x2,Automático,112,Gasolina,2.0,6.0,Combustión,207,Sí,Jac,6,Suv
4x2,Automático,104,Estándar,1.6,6.0,Combustión,113,No,Volkswagen,8,Sedan
4x2,Automático,180,Gasolina,1.6,6.0,Combustión,177,Sí,Volvo,11,Sedan
4x2,Manual,98,Gasolina,1.4,5.0,Combustión,89,No,Chevrolet,6,Hatchback
4x2,Manual,136,Gasolina,1.5,6.0,Combustión,162,Sí,Mini,8,Hatchback
4x4,Automático,403,Estándar,6.2,6.0,Combustión,417,No,Gmc,12,Pickup
4x2,Automático,110,Gasolina,1.6,6.0,Combustión,114,No,Seat,4,Suv
4x2,Manual,110,Gasolina,1.6,5.0,Combustión,114,No,Seat,9,Hatchback
4x4,Automático,226,Gasolina,2.0,6.0,Combustión,266,Sí,Mg,4,Suv
4x2,Automático,231,Estándar,2.0,6.0,Combustión,207,Sí,Mini,7,Hatchback
4x2,Automático,164,Gasolina,2.0,6.0,Combustión,146,No,Ford,7,Suv
4x2,Automático,125,Estándar,1.4,7.0,Combustión,148,Sí,Audi,8,Hatchback
4x2,Automático,145,Gasolina,1.8,6.0,Combustión,130,No,Hyundai,9,Sedan
4x2,Manual,110,Gasolina,1.0,5.0,Combustión,125,Sí,Suzuki,5,Hatchback
4x4,Automático,420,Estándar,4.0,8.0,Combustión,443,Sí,Audi,10,Sedan
4x2,Automático,148,Estándar,2.0,6.0,Combustión,141,No,Mazda,8,Suv
4x2,Automático,150,Gasolina,1.4,7.0,Combustión,184,Sí,Seat,6,Wagon
4x2,Automático,104,Gasolina,1.6,6.0,Combustión,113,No,Volkswagen,7,Sedan
4x2,Automático,166,Gasolina,2.4,7.0,Combustión,178,No,Nissan,4,Pickup
4x2,Automático,252,Gasolina,2.0,9.0,Combustión,258,Sí,Gmc,6,Suv
4x2,Manual,150,Estándar,2.0,6.0,Combustión,142,No,Kia,8,Sedan
4x4,Automático,271,Gasolina,3.2,9.0,Combustión,239,No,Jeep,10,Suv
4x2,Manual,125,Gasolina,1.4,6.0,Combustión,148,Sí,Audi,9,Hatchback
4x4,Automático,279,Gasolina,2.5,6.0,Combustión,252,No,Acura,7,Suv
4x2,Manual,106,Gasolina,1.6,5.0,Combustión,105,No,Nissan,6,Hatchback
4x4,Automático,242,Gasolina,2.0,8.0,Combustión,258,Sí,Bmw,8,Suv
4x2,Manual,104,Gasolina,1.6,5.0,Combustión,113,No,Volkswagen,7,Sedan
4x2,Automático,252,Gasolina,2.0,9.0,Combustión,258,Sí,Gmc,5,Suv
4x2,Automático,140,Gasolina,1.8,6.0,Combustión,129,No,Chevrolet,6,Suv
4x2,Automático,181,Gasolina,2.0,8.0,Combustión,214,Sí,Bmw,6,Suv
