fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
16.0,4x2,Automático,140,Gasolina,1.8,5.0,Combustión,128,No,Honda,12
11.0,4x2,Automático,172,Gasolina,2.4,6.0,Combustión,165,No,Jeep,11
15.0,4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Kia,6
14.0,4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Kia,3
10.0,4x2,Automático,323,Estándar,3.6,6.0,Combustión,278,No,Chevrolet,11
9.0,4x4,Automático,288,Estándar,3.6,6.0,Combustión,270,No,Buick,10
14.0,4x2,Automático,155,Gasolina,2.0,6.0,Combustión,148,No,Mazda,10
14.0,4x2,Manual,129,Gasolina,1.8,6.0,Combustión,128,No,Nissan,8
15.0,4x2,Manual,101,Estándar,1.4,5.0,Combustión,98,No,Fiat,10
14.0,4x2,Automático,104,Gasolina,1.6,6.0,Combustión,113,No,Volkswagen,7
14.0,4x2,Manual,85,Gasolina,1.4,5.0,Combustión,90,No,Fiat,7
14.0,4x2,Manual,99,Gasolina,1.6,5.0,Combustión,105,No,Volkswagen,11
15.0,4x2,Automático,140,Gasolina,1.8,6.0,Combustión,129,No,Chevrolet,10
11.0,4x2,Automático,168,Gasolina,2.5,6.0,Combustión,177,No,Volkswagen,11
14.0,4x2,Automático,153,Gasolina,2.0,6.0,Combustión,148,No,Mazda,7
17.0,4x2,Automático,153,Estándar,1.4,6.0,Combustión,177,Sí,Chevrolet,9
18.0,4x2,Automático,106,Gasolina,1.6,4.0,Combustión,105,No,Nissan,7
13.0,4x2,Automático,102,Estándar,1.5,4.0,Combustión,99,No,Toyota,7
8.0,4x4,Automático,177,Gasolina,2.4,5.0,Combustión,164,No,Honda,12
17.0,4x2,Manual,107,Estándar,1.6,5.0,Combustión,104,No,Chevrolet,5
9.0,4x2,Automático,155,Gasolina,2.0,6.0,Combustión,148,No,Mazda,10
14.0,4x2,Automático,155,Gasolina,2.0,6.0,Combustión,148,No,Mazda,9
11.0,4x2,Automático,180,Gasolina,1.8,7.0,Combustión,184,Sí,Audi,11
15.0,4x2,Automático,132,Gasolina,1.8,4.0,Combustión,128,No,Toyota,11
15.0,4x2,Manual,69,Gasolina,1.0,5.0,Combustión,68,No,Fiat,6
6.0,4x2,Automático,250,Estándar,3.5,6.0,Combustión,253,No,Honda,10
16.0,4x2,Automático,130,Gasolina,1.2,6.0,Combustión,141,Sí,Chevrolet,4
17.0,4x2,Automático,106,Gasolina,1.5,6.0,Combustión,103,No,Toyota,8
17.0,4x2,Manual,107,Gasolina,1.6,5.0,Combustión,104,No,Chevrolet,5
16.0,4x2,Automático,84,Estándar,1.0,5.0,Combustión,89,Sí,Smart,10
15.0,4x2,Automático,125,Estándar,1.4,7.0,Combustión,148,Sí,Audi,9
13.0,4x2,Manual,138,Gasolina,1.8,5.0,Combustión,129,No,Chevrolet,9
20.0,4x2,Manual,76,Estándar,1.2,5.0,Combustión,74,No,Dodge,5
19.0,4x2,Manual,100,Estándar,1.4,5.0,Combustión,98,No,Suzuki,11
17.0,4x2,Automático,107,Estándar,1.5,6.0,Combustión,104,No,Chevrolet,6
14.0,4x2,Manual,106,Gasolina,1.5,6.0,Combustión,103,No,Mazda,9
14.0,4x2,Automático,105,Gasolina,1.6,6.0,Combustión,113,No,Volkswagen,4
16.0,4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Hyundai,5
13.0,4x2,Manual,181,Gasolina,2.0,6.0,Combustión,151,No,Mazda,6
13.0,4x2,Manual,141,Gasolina,1.8,6.0,Combustión,127,No,Honda,6
16.0,4x2,Manual,106,Gasolina,1.6,5.0,Combustión,105,No,Nissan,5
15.0,4x2,Manual,150,Estándar,2.0,6.0,Combustión,142,No,Kia,8
16.0,4x2,Automático,107,Estándar,1.6,4.0,Combustión,104,No,Chevrolet,7
18.0,4x2,Automático,106,Gasolina,1.6,4.0,Combustión,105,No,Nissan,6
15.0,4x2,Manual,121,Estándar,1.6,6.0,Combustión,111,No,Kia,7
12.0,4x2,Automático,130,Gasolina,1.8,6.0,Combustión,134,No,Jeep,8
14.0,4x2,Manual,105,Estándar,1.6,6.0,Combustión,113,No,Volkswagen,5
16.0,4x2,Manual,106,Gasolina,1.6,5.0,Combustión,105,No,Nissan,7
12.0,4x2,Automático,115,Gasolina,2.0,6.0,Combustión,125,No,Volkswagen,7
15.0,4x2,Automático,103,Gasolina,1.5,4.0,Combustión,102,No,Suzuki,5
